,Dataset ID,latitude degrees_north,longitude degrees_east,sea_water_practical_salinity,sea_water_temperature,cdm_data_type,server
0,scalar_1200301,48.67064,-126.847847,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194678,50.0207667,-125.23536659999999,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1195538,50.0207667,-125.23536659999999,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1198140,50.0207667,-125.23535,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201779,50.0207667,-125.23535,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194675,50.0207667,-125.23536659999999,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1195535,50.0207667,-125.23536659999999,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1195536,50.0207667,-125.23536659999999,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1198139,50.0207667,-125.23535,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201774,50.0207667,-125.23535,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1195539,50.0207667,-125.23536659999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205972,49.154343,-124.80306200000001,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1206545,49.15363749,-124.80204127,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205971,49.154343,-124.80306200000001,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1206537,49.15363749,-124.80204127,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1193605,54.258666666,-130.431208333,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196091,54.258761666000005,-130.431186666,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201690,54.25873333333333,-130.43134333333333,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205256,54.25880556,-130.43069440000002,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1193600,54.258666666,-130.431208333,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1193604,54.258666666,-130.431208333,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196090,54.258761666000005,-130.431186666,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196120,54.258761666000005,-130.431186666,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201632,54.25873333333333,-130.43134333333333,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205254,54.25880556,-130.43069440000002,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1193601,54.258666666,-130.431208333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196121,54.258761666000005,-130.431186666,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1193582,53.974668333000004,-128.65701,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196052,53.974663333,-128.657038333,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201565,53.974785,-128.65718333333334,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1193580,53.974668333000004,-128.65701,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1195410,54.318707999999994,-130.320968,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196049,53.974663333,-128.657038333,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196050,53.974663333,-128.657038333,Sensor9_Current,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1197448,54.318707999999994,-130.320968,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
